,analysis date,city,cityid,cloudiness,country,groupingid,humidity,lat,long,max temp,wind speed
130,2018-09-06 12:40:40,Gilgit,1178338,12,PK,3,80,74.31,35.92,44.31,0.29
131,2018-09-06 12:36:06,Bonavista,5905393,80,CA,3,73,-53.11,48.65,65.55,30.94
132,2018-09-06 12:40:41,Japura,1642773,76,ID,3,93,102.29,-0.42,73.83,1.97
133,2018-09-06 12:00:00,Itaituba,3397967,20,BR,3,55,-55.99,-4.26,89.6,5.82
134,2018-09-06 12:31:00,Broome,2656067,92,GB,3,100,1.45,52.47,55.4,2.24
135,2018-09-06 12:40:43,Hajnowka,771158,56,PL,3,87,23.58,52.74,59.52,2.98
136,2018-09-06 12:36:36,Aracati,3407378,32,BR,3,55,-37.77,-4.56,84.27,13.6
137,2018-09-06 12:00:00,Hobart,2163355,40,AU,3,87,147.33,-42.88,44.6,5.82
138,2018-09-06 12:35:00,Saint-Philippe,6138908,1,CA,3,55,-73.48,45.36,75.2,4.7
139,2018-09-06 12:00:00,Sao Joao da Barra,3448903,75,BR,3,60,-41.05,-21.64,69.8,13.87
140,2018-09-06 12:40:46,Ponta do Sol,3453439,0,BR,3,40,-46.0,-20.63,72.66,2.75
141,2018-09-06 12:00:00,Cayenne,3382160,0,GF,3,70,-52.33,4.94,84.2,12.75
142,2018-09-06 12:40:48,Zambezi,895953,0,ZM,3,32,23.12,-13.55,72.3,10.58
143,2018-09-06 12:40:49,Sarkand,1519691,12,KZ,3,61,79.91,45.41,52.32,7.23
144,2018-09-06 12:15:00,Vardo,4372777,75,US,3,62,-77.74,39.62,95.0,16.11
145,2018-09-06 12:00:00,Marfino,503977,0,RU,3,76,37.56,56.07,57.2,6.71
146,2018-09-06 11:50:00,Ilulissat,3423146,75,GL,3,43,-51.1,69.22,50.0,18.34
147,2018-09-06 12:40:51,Rocha,3440777,0,UY,3,56,-54.34,-34.48,68.52,7.23
148,2018-09-06 11:55:00,Pacific Grove,5380437,20,US,3,72,-121.92,36.62,82.4,10.29
149,2018-09-06 11:47:00,Ixtapa,4004293,40,MX,4,70,-105.21,20.71,87.8,9.17
150,2018-09-06 12:40:53,Uyuni,3901903,56,BO,4,22,-66.82,-20.46,59.34,2.98
151,2018-09-06 12:00:00,Smithers,6149996,75,CA,4,42,-127.17,54.78,66.2,4.7
152,2018-09-06 12:20:00,Rome,6539761,0,IT,4,73,12.48,41.89,71.6,4.7
153,2018-09-06 12:00:00,Esperance,3573739,20,TT,4,74,-61.45,10.24,84.2,8.05
154,2018-09-06 12:15:00,Estevan,5949568,40,CA,4,41,-102.99,49.14,75.2,13.87
155,2018-09-06 12:36:27,Biak,1637001,56,ID,4,95,122.88,-0.91,76.53,6.67
156,2018-09-06 12:00:00,San Quintin,1688687,20,PH,4,100,120.52,17.54,75.2,2.24
157,2018-09-06 11:36:00,Katsuura,1865309,75,JP,4,94,134.5,33.93,75.2,10.29
158,2018-09-06 12:40:57,Balkanabat,161616,0,TM,4,23,54.36,39.51,71.31,6.55
159,2018-09-06 12:00:00,Shelburne,6145890,1,CA,4,68,-80.2,44.08,77.0,10.29
160,2018-09-06 11:55:00,Sciacca,6542103,40,IT,4,88,13.08,37.51,77.0,1.12
161,2018-09-06 12:40:59,Nsanje,924572,36,MZ,4,40,35.26,-16.92,78.24,8.68
162,2018-09-06 12:00:00,Naron,3115739,75,ES,4,77,-8.15,43.52,64.4,6.93
163,2018-09-06 11:50:00,Salalah,286621,75,OM,4,88,54.1,17.01,77.0,5.82
164,2018-09-06 12:41:00,Dakoro,2446267,64,NE,4,90,6.76,14.51,76.89,8.01
165,2018-09-06 12:41:00,Faanui,4034551,76,PF,4,100,-151.75,-16.48,77.61,11.59
166,2018-09-06 12:41:01,Te Anau,2181625,0,NZ,4,74,167.72,-45.41,35.04,4.88
167,2018-09-06 12:41:01,Lebu,344979,12,ET,4,91,38.73,8.96,48.99,2.42
168,2018-09-06 12:00:00,Felanitx,2517750,40,ES,4,73,3.15,39.47,77.0,8.05
169,2018-09-06 12:41:02,Upernavik,3418910,44,GL,4,99,-56.15,72.79,38.82,13.27
170,2018-09-06 12:20:00,Meiningen,2872225,0,DE,4,93,10.42,50.57,60.8,5.82
171,2018-09-06 12:36:18,Mount Gambier,2156643,44,AU,4,78,140.78,-37.83,45.21,3.65
172,2018-09-06 12:41:04,Hokitika,2206894,0,NZ,4,100,170.96,-42.72,45.84,8.79
173,2018-09-06 12:41:05,Mgachi,2123292,0,RU,4,90,142.27,51.05,59.34,9.57
174,2018-09-06 12:41:05,Inhambane,1045114,0,MZ,4,95,35.38,-23.87,73.65,15.84
175,2018-09-06 12:00:00,Lagoa,2267254,0,PT,4,64,-8.45,37.14,71.6,8.05
176,2018-09-06 12:00:00,Petropavlovsk-Kamchatskiy,2122104,75,RU,4,93,158.65,53.05,51.8,6.71
177,2018-09-06 12:00:00,Bambous Virieux,1106677,75,MU,4,88,57.76,-20.34,73.4,17.22
178,2018-09-06 12:00:00,Port-Cartier,6111696,20,CA,4,37,-66.88,50.03,66.2,14.99
179,2018-09-06 12:41:09,Santa Fe,3836277,0,AR,4,42,-60.7,-31.62,79.14,7.0
180,2018-09-06 12:41:10,Beyneu,610298,0,KZ,4,55,55.19,45.32,52.86,4.65
181,2018-09-06 12:00:00,Palmares do Sul,3455461,0,BR,4,46,-50.51,-30.26,73.4,3.36
182,2018-09-06 12:20:00,Atherton,2656847,88,GB,4,76,-2.49,53.52,55.4,5.82
183,2018-09-06 12:41:11,Abnub,362973,0,EG,4,42,31.15,27.27,80.31,5.66
184,2018-09-06 12:41:12,La Orilla,4001056,56,MX,4,70,-102.23,18.0,89.22,3.2
185,2018-09-06 12:41:12,Carutapera,3402648,80,BR,4,76,-46.02,-1.2,82.29,12.82
186,2018-09-06 11:56:00,Hutchinson,4273299,90,US,4,96,-97.93,38.06,75.02,10.29
187,2018-09-06 12:41:13,Srednekolymsk,2121025,0,RU,4,61,153.71,67.46,56.91,7.78
188,2018-09-06 12:01:00,Bowen,2174444,32,AU,4,93,148.25,-20.01,64.4,5.82
189,2018-09-06 12:00:00,San Miguel,3430545,0,AR,4,44,-58.72,-34.54,75.2,4.7
190,2018-09-06 12:00:00,Bubaque,2374583,90,GW,4,94,-15.83,11.28,75.2,11.41
191,2018-09-06 12:41:18,Bulawayo,894701,100,ZW,4,27,28.59,-20.16,78.06,8.34
192,2018-09-06 12:00:00,Nouadhibou,2377457,0,MR,4,83,-17.03,20.93,71.6,14.99
193,2018-09-06 12:41:19,Maningrida,2067089,0,AU,4,80,134.23,-12.05,71.04,5.77
194,2018-09-06 12:41:19,Atar,2381334,68,MR,4,69,-13.05,20.52,77.16,7.23
195,2018-09-06 12:41:20,Vestmannaeyjar,3412093,92,IS,4,89,-20.27,63.44,50.07,24.0
196,2018-09-06 12:41:21,Iguatu,3398331,24,BR,4,24,-39.3,-6.36,91.65,7.23
197,2018-09-06 12:20:00,Cockenzie,2652681,0,GB,4,93,-2.97,55.97,48.2,4.7
198,2018-09-06 12:41:22,Taywarah,1122464,0,AF,4,73,64.42,33.35,39.36,2.19
199,2018-09-06 12:00:00,Quatre Cocos,1106643,75,MU,5,88,57.76,-20.21,73.4,17.22
200,2018-09-06 12:41:23,East London,1006984,92,ZA,5,100,27.91,-33.02,59.07,13.82
201,2018-09-06 12:00:00,Thompson,6165406,75,CA,5,46,-97.86,55.74,50.0,13.87
202,2018-09-06 11:54:00,Raton,5486795,20,US,5,50,-104.44,36.9,71.06,4.7
203,2018-09-06 12:41:24,Talnakh,1490256,64,RU,5,96,88.39,69.49,34.59,2.98
204,2018-09-06 12:00:00,Anadyr,2127202,75,RU,5,76,177.51,64.73,55.4,13.42
205,2018-09-06 12:41:25,Karratha,6620339,0,AU,5,34,116.85,-20.74,50.52,4.65
206,2018-09-06 11:50:00,Norrtalje,2688250,0,SE,5,93,18.7,59.76,57.2,5.82
207,2018-09-06 12:41:26,Sao Filipe,3374210,64,CV,5,100,-24.5,14.9,78.51,0.96
208,2018-09-06 12:00:00,Tautira,4033557,40,PF,5,65,-149.15,-17.73,80.6,9.17
209,2018-09-06 12:00:00,Nishihara,1850144,20,JP,5,78,139.53,35.74,78.8,2.64
210,2018-09-06 12:41:28,Zyryanka,2119283,0,RU,5,60,150.89,65.73,56.91,11.36
211,2018-09-06 12:41:28,Caravelas,3466980,8,BR,5,100,-39.27,-17.73,74.82,21.77
212,2018-09-06 12:41:29,Severo-Kurilsk,2121385,92,RU,5,100,156.12,50.68,50.34,13.27
213,2018-09-06 12:41:29,Sao Jose da Coroa Grande,3388456,92,BR,5,89,-35.15,-8.9,75.27,9.01
214,2018-09-06 12:41:30,Banda Aceh,1215502,36,ID,5,99,95.32,5.56,75.18,2.19
215,2018-09-06 11:57:00,Ahuimanu,5856516,75,US,5,67,-157.84,21.44,87.08,14.99
216,2018-09-06 12:15:00,Alpena,4984075,1,US,5,42,-83.43,45.06,71.06,8.05
217,2018-09-06 12:41:32,Ilhabela,3461425,0,BR,5,98,-45.36,-23.78,68.79,13.94
218,2018-09-06 12:00:00,Honiara,2108502,75,SB,5,94,159.96,-9.43,75.2,3.36
219,2018-09-06 11:49:00,Cabo San Lucas,3985710,5,MX,5,66,-109.91,22.89,89.6,9.17
220,2018-09-06 12:41:33,Codrington,2160063,44,AU,5,92,153.24,-28.95,53.13,3.09
221,2018-09-06 12:00:00,La Ronge,6050066,20,CA,5,50,-105.3,55.1,53.6,3.42
222,2018-09-06 12:41:34,Batemans Bay,2176639,0,AU,5,99,150.18,-35.71,53.49,4.21
223,2018-09-06 12:41:35,Mutata,3674130,92,CO,5,92,-76.44,7.24,68.61,2.08
224,2018-09-06 12:41:35,Angoram,2100765,80,PG,5,97,144.07,-4.06,75.45,0.96
225,2018-09-06 11:55:00,Zwolle,2743477,88,NL,5,100,6.09,52.51,57.2,3.36
226,2018-09-06 12:41:36,Hofn,2630299,80,IS,5,100,-15.21,64.25,47.28,4.32
227,2018-09-06 12:20:00,Klaksvik,2618795,88,FO,5,100,-6.59,62.23,46.4,2.24
228,2018-09-06 11:58:00,College,5859699,90,US,5,78,-147.8,64.86,53.06,6.93
229,2018-09-06 12:00:00,Ocho Rios,3489239,20,JM,5,70,-77.1,18.41,87.8,20.8
230,2018-09-06 12:41:38,Yar-Sale,1486321,32,RU,5,100,70.83,66.83,47.91,15.61
231,2018-09-06 12:00:00,Torbay,6167817,90,CA,5,59,-52.73,47.66,66.2,28.86
232,2018-09-06 12:41:39,Izhma,554830,32,RU,5,96,53.91,65.01,52.41,2.42
233,2018-09-06 12:15:00,Rincon,4218882,75,US,5,55,-81.24,32.3,91.22,13.87
234,2018-09-06 12:41:40,Mpophomeni,973139,80,ZA,5,25,30.18,-29.57,71.49,11.92
235,2018-09-06 11:50:00,Kloulklubed,7671223,75,PW,5,83,134.26,7.04,80.6,6.93
236,2018-09-06 12:41:42,Pevek,2122090,24,RU,5,81,170.27,69.7,49.89,12.48
237,2018-09-06 12:00:00,Ambon,3037899,0,FR,5,72,-2.56,47.55,60.8,5.82
238,2018-09-06 12:41:43,Pinawa,6104820,0,CA,5,49,-95.88,50.15,71.67,8.46
239,2018-09-06 12:41:44,Newcastle,971421,44,ZA,5,26,29.92,-27.76,68.25,10.25
240,2018-09-06 12:41:44,Qujing,1797318,88,CN,5,96,103.8,25.49,54.66,10.92
241,2018-09-06 12:41:45,Jalu,86049,0,LY,5,33,21.55,29.03,80.67,6.33
242,2018-09-06 12:41:45,Linxia,1803331,8,CN,5,84,103.21,35.6,32.34,1.86
243,2018-09-06 11:56:00,Port Elizabeth,4501427,1,US,5,57,-74.98,39.31,93.02,5.82
244,2018-09-06 12:41:47,Montepuez,1037125,0,MZ,5,96,39.0,-13.13,64.29,6.78
245,2018-09-06 12:41:47,Simplicio Mendes,3387620,56,BR,5,28,-41.91,-7.85,91.83,10.25
246,2018-09-06 12:41:48,Kongolo,212360,12,CD,5,70,27.0,-5.39,75.72,2.42
247,2018-09-06 12:41:49,Sitka,4267710,92,US,5,80,-99.65,37.17,73.02,12.93
248,2018-09-06 12:00:00,Aguimes,2522325,20,ES,5,73,-15.45,27.91,73.4,19.46
249,2018-09-06 12:41:49,Djambala,2260401,68,CG,6,89,14.76,-2.55,73.02,2.75
250,2018-09-06 12:41:50,Pokhara,1282898,64,NP,6,67,83.99,28.21,61.59,2.86
251,2018-09-06 12:41:50,Butembo,217562,12,CD,6,96,29.29,0.12,59.52,2.53
252,2018-09-06 12:20:00,Hovd,7626384,0,NO,6,76,10.7,63.83,60.8,13.87
253,2018-09-06 12:16:00,Inuvik,5983607,75,CA,6,93,-133.71,68.36,48.2,12.75
254,2018-09-06 12:41:53,Waingapu,1622318,24,ID,6,95,120.26,-9.65,67.71,3.09
255,2018-09-06 12:41:53,Gewane,336745,24,ET,6,71,40.66,10.16,72.84,2.19
256,2018-09-06 12:05:00,Rio Gallegos,3838859,90,AR,6,93,-69.22,-51.62,41.0,3.36
257,2018-09-06 12:00:00,Neiafu,4032420,20,TO,6,69,-173.98,-18.65,80.6,10.29
258,2018-09-06 12:41:55,Carnarvon,1014034,64,ZA,6,99,22.13,-30.97,28.92,7.0
259,2018-09-06 12:15:00,Port Huron,5006233,40,US,6,68,-82.44,42.98,71.6,10.29
260,2018-09-06 12:41:56,Lianga,1706781,0,PH,6,91,126.09,8.63,72.12,3.2
261,2018-09-06 12:20:00,Eastleigh,2650396,0,GB,6,82,-1.35,50.97,59.0,8.05
262,2018-09-06 12:00:00,Alberton,993800,92,ZA,6,41,28.13,-26.25,59.0,16.28
263,2018-09-06 12:41:58,Bagdarin,2027244,0,RU,6,57,113.59,54.44,30.45,7.9
264,2018-09-06 12:41:58,Maniitsoq,3421982,92,GL,6,94,-52.9,65.42,43.14,11.25
265,2018-09-06 12:42:00,Chokurdakh,2126123,56,RU,6,92,147.9,70.62,45.93,7.0
266,2018-09-06 12:42:00,Dondo,1024696,0,MZ,6,70,34.74,-19.62,76.26,14.27
267,2018-09-06 12:42:01,Dire,328880,12,ET,6,91,38.92,9.18,48.99,2.42
268,2018-09-06 12:00:00,Adrar,2508813,0,DZ,6,12,-0.29,27.87,98.6,5.82
269,2018-09-06 12:42:02,Diego de Almagro,3892454,0,CL,6,67,-70.05,-26.39,67.26,3.65
270,2018-09-06 12:42:02,Vicosa do Ceara,3385106,76,BR,6,44,-41.09,-3.56,87.96,6.22
